index,local_time,date,weekday,value,seasonal_naive_residual,z_score,is_holiday,holiday
4561,2013-12-02T16:10:00.000000000,2013-12-02,Monday,2511.280029296875,-4037.123779296875,4.560319503514619,False,
4564,2013-12-02T16:40:00.000000000,2013-12-02,Monday,2495.268310546875,-4258.021240234375,4.060345973004243,False,
4569,2013-12-02T17:30:00.000000000,2013-12-02,Monday,2234.85888671875,-3971.29931640625,5.693427348410948,False,
4571,2013-12-02T17:50:00.000000000,2013-12-02,Monday,2238.62255859375,-3836.087890625,4.714553311349111,False,
4572,2013-12-02T18:00:00.000000000,2013-12-02,Monday,2321.213134765625,-4121.273681640625,4.953374744075559,False,
4573,2013-12-02T18:10:00.000000000,2013-12-02,Monday,2224.670654296875,-3300.783935546875,4.087187867018744,False,
4574,2013-12-02T18:20:00.000000000,2013-12-02,Monday,2108.677734375,-3722.66845703125,4.225666317669118,False,
4575,2013-12-02T18:30:00.000000000,2013-12-02,Monday,1945.989501953125,-4220.828369140625,5.496566442092104,False,
4606,2013-12-02T23:40:00.000000000,2013-12-02,Monday,750.7112426757812,454.70550537109375,4.006947884357142,False,
4617,2013-12-03T01:30:00.000000000,2013-12-03,Tuesday,187.76792907714844,-347.5070343017578,6.117223135920912,False,
5182,2013-12-06T23:40:00.000000000,2013-12-06,Friday,1177.3287353515625,779.5341796875,6.89564090196135,False,
5195,2013-12-07T01:50:00.000000000,2013-12-07,Saturday,191.71559143066406,-211.1284942626953,4.533655414968039,True,Sant'Ambrogio
5275,2013-12-07T15:10:00.000000000,2013-12-07,Saturday,5659.85888671875,2511.199462890625,4.498808614029987,True,Sant'Ambrogio
5307,2013-12-07T20:30:00.000000000,2013-12-07,Saturday,3218.113037109375,1419.546630859375,4.201752369327631,True,Sant'Ambrogio
5308,2013-12-07T20:40:00.000000000,2013-12-07,Saturday,2936.8408203125,1306.3709716796875,4.012678687180321,True,Sant'Ambrogio
5326,2013-12-07T23:40:00.000000000,2013-12-07,Saturday,726.2970581054688,-451.03167724609375,4.047749505634421,True,Sant'Ambrogio
5334,2013-12-08T01:00:00.000000000,2013-12-08,Sunday,579.8685913085938,311.50091552734375,5.210467162910505,True,Immacolata Concezione
5451,2013-12-08T20:30:00.000000000,2013-12-08,Sunday,1686.748046875,-1531.364990234375,4.390933244651954,True,Immacolata Concezione
5452,2013-12-08T20:40:00.000000000,2013-12-08,Sunday,1533.58203125,-1403.2587890625,4.270570358013339,True,Immacolata Concezione
5453,2013-12-08T20:50:00.000000000,2013-12-08,Sunday,1193.10498046875,-1341.171630859375,4.246868229796731,True,Immacolata Concezione
5455,2013-12-08T21:10:00.000000000,2013-12-08,Sunday,1020.6046752929688,-1554.5056762695312,4.9409214262877335,True,Immacolata Concezione
5478,2013-12-09T01:00:00.000000000,2013-12-09,Monday,238.6772918701172,-341.19129943847656,5.689485666910932,False,
5541,2013-12-09T11:30:00.000000000,2013-12-09,Monday,2260.84521484375,-1580.031005859375,4.515698080808962,False,
5916,2013-12-12T02:00:00.000000000,2013-12-12,Thursday,395.5361633300781,174.18536376953125,4.079459576820521,False,
5931,2013-12-12T04:30:00.000000000,2013-12-12,Thursday,403.520751953125,195.59329223632812,4.915773858210573,False,
6075,2013-12-13T04:30:00.000000000,2013-12-13,Friday,212.7274627685547,-190.7932891845703,4.907987312449407,False,
6329,2013-12-14T22:50:00.000000000,2013-12-14,Saturday,1207.615966796875,687.47998046875,5.0631948848799135,False,
6353,2013-12-15T02:50:00.000000000,2013-12-15,Sunday,364.0741271972656,132.66299438476562,4.571015617154649,False,
6473,2013-12-15T22:50:00.000000000,2013-12-15,Sunday,517.4075927734375,-690.2083740234375,4.60788307348019,False,
6497,2013-12-16T02:50:00.000000000,2013-12-16,Monday,192.52117919921875,-171.55294799804688,6.076993766631646,False,
6554,2013-12-16T12:20:00.000000000,2013-12-16,Monday,1910.0787353515625,-2236.0740966796875,4.769188508102753,False,
6555,2013-12-16T12:30:00.000000000,2013-12-16,Monday,2116.087890625,-2586.34130859375,4.709952383091085,False,
6558,2013-12-16T13:00:00.000000000,2013-12-16,Monday,2360.44482421875,-2160.77392578125,4.472163300102987,False,
6571,2013-12-16T15:10:00.000000000,2013-12-16,Monday,2480.48583984375,-2420.5,4.410176297575898,False,
6574,2013-12-16T15:40:00.000000000,2013-12-16,Monday,2538.41064453125,-2599.8857421875,4.09478282824863,False,
6784,2013-12-18T02:40:00.000000000,2013-12-18,Wednesday,443.7337341308594,260.5953369140625,6.287980457534769,False,
6785,2013-12-18T02:50:00.000000000,2013-12-18,Wednesday,424.5218200683594,221.69546508789062,7.687284199540798,False,
6786,2013-12-18T03:00:00.000000000,2013-12-18,Wednesday,514.8599243164062,310.3485412597656,7.822181354966477,False,
6926,2013-12-19T02:20:00.000000000,2013-12-19,Thursday,167.06289672851562,-223.46844482421875,5.305403217323949,False,
6927,2013-12-19T02:30:00.000000000,2013-12-19,Thursday,144.11837768554688,-240.99533081054688,5.01948718608647,False,
6928,2013-12-19T02:40:00.000000000,2013-12-19,Thursday,168.7206573486328,-275.01307678222656,6.509274068953634,False,
6929,2013-12-19T02:50:00.000000000,2013-12-19,Thursday,163.07359313964844,-261.44822692871094,9.223461917230047,False,
6930,2013-12-19T03:00:00.000000000,2013-12-19,Thursday,140.69020080566406,-374.1697235107422,9.818015197906444,False,
6951,2013-12-19T06:30:00.000000000,2013-12-19,Thursday,133.8903045654297,-186.9976043701172,4.66464566984099,False,
7714,2013-12-24T13:40:00.000000000,2013-12-24,Tuesday,2481.260986328125,-1981.941162109375,4.621889681696545,True,Vigilia di Natale (Christmas Eve)
7837,2013-12-25T10:10:00.000000000,2013-12-25,Wednesday,152.7353973388672,-1108.7489776611328,6.974219113030693,True,Natale (Christmas Day)
7839,2013-12-25T10:30:00.000000000,2013-12-25,Wednesday,165.0501251220703,-1152.4022674560547,4.317647321457579,True,Natale (Christmas Day)
7841,2013-12-25T10:50:00.000000000,2013-12-25,Wednesday,148.7003936767578,-1247.6304168701172,4.0996030600328215,True,Natale (Christmas Day)
7842,2013-12-25T11:00:00.000000000,2013-12-25,Wednesday,145.21119689941406,-1508.921127319336,4.11221443539697,True,Natale (Christmas Day)
7845,2013-12-25T11:30:00.000000000,2013-12-25,Wednesday,165.44107055664062,-1600.5773620605469,4.571298299654095,True,Natale (Christmas Day)
7850,2013-12-25T12:20:00.000000000,2013-12-25,Wednesday,203.721435546875,-2279.99609375,4.859308609522286,True,Natale (Christmas Day)
7854,2013-12-25T13:00:00.000000000,2013-12-25,Wednesday,217.3773193359375,-2275.8026123046875,4.7061379435787565,True,Natale (Christmas Day)
7858,2013-12-25T13:40:00.000000000,2013-12-25,Wednesday,184.06300354003906,-2297.197982788086,5.323077627559069,True,Natale (Christmas Day)
7867,2013-12-25T15:10:00.000000000,2013-12-25,Wednesday,191.4555206298828,-2225.868698120117,4.058579987861243,True,Natale (Christmas Day)
8139,2013-12-27T12:30:00.000000000,2013-12-27,Friday,2971.325439453125,2204.68994140625,4.177868746087633,False,
8142,2013-12-27T13:00:00.000000000,2013-12-27,Friday,2966.0791015625,2214.476318359375,4.427335137458434,False,
8146,2013-12-27T13:40:00.000000000,2013-12-27,Friday,2924.095458984375,2242.1513671875,4.7732528480489576,False,
8155,2013-12-27T15:10:00.000000000,2013-12-27,Friday,3593.076904296875,2412.26123046875,4.320079308552236,False,
8782,2013-12-31T23:40:00.000000000,2013-12-31,Tuesday,691.70361328125,480.6521301269531,4.2376905486874445,True,San Silvestro (New Year's Eve)
8783,2013-12-31T23:50:00.000000000,2013-12-31,Tuesday,773.2021484375,600.3153228759766,4.422331403090836,True,San Silvestro (New Year's Eve)
8784,2014-01-01T00:00:00.000000000,2014-01-01,Wednesday,990.8812255859375,790.7875671386719,4.979170584697771,True,Capodanno (New Year's Day)
8785,2014-01-01T00:10:00.000000000,2014-01-01,Wednesday,1469.55224609375,1306.6819915771484,9.58993447967359,True,Capodanno (New Year's Day)
8786,2014-01-01T00:20:00.000000000,2014-01-01,Wednesday,1029.7083740234375,911.6346740722656,7.291717988991191,True,Capodanno (New Year's Day)
8787,2014-01-01T00:30:00.000000000,2014-01-01,Wednesday,1105.8284912109375,959.6804962158203,9.190527982011968,True,Capodanno (New Year's Day)
8788,2014-01-01T00:40:00.000000000,2014-01-01,Wednesday,1146.5462646484375,1015.4100341796875,7.451682692348211,True,Capodanno (New Year's Day)
8789,2014-01-01T00:50:00.000000000,2014-01-01,Wednesday,674.70556640625,553.3255462646484,8.322239667039565,True,Capodanno (New Year's Day)
8790,2014-01-01T01:00:00.000000000,2014-01-01,Wednesday,581.646240234375,426.08770751953125,7.124065332149908,True,Capodanno (New Year's Day)
8791,2014-01-01T01:10:00.000000000,2014-01-01,Wednesday,425.82513427734375,324.9524154663086,4.689788288656938,True,Capodanno (New Year's Day)
8792,2014-01-01T01:20:00.000000000,2014-01-01,Wednesday,380.51971435546875,280.62156677246094,6.590678476137067,True,Capodanno (New Year's Day)
8797,2014-01-01T02:10:00.000000000,2014-01-01,Wednesday,235.01976013183594,159.6797332763672,4.190819540481236,True,Capodanno (New Year's Day)
8803,2014-01-01T03:10:00.000000000,2014-01-01,Wednesday,209.9899444580078,146.24195098876953,4.536343868413891,True,Capodanno (New Year's Day)
8926,2014-01-01T23:40:00.000000000,2014-01-01,Wednesday,141.79225158691406,-549.9113616943359,4.927083987572175,True,Capodanno (New Year's Day)
8927,2014-01-01T23:50:00.000000000,2014-01-01,Wednesday,148.33172607421875,-624.8704223632812,4.648234129524121,True,Capodanno (New Year's Day)
